ride_id,user_id,timestamp,city,ride_type,distance_km,duration_min,base_fare,surge_multiplier,final_fare,rating,payment_method,cancelled,user_age,user_gender,user_segment,hour,day_of_week,month,is_peak_hour
1,432,2024-11-23 15:20:00,Chennai,Standard,3.55,19,37.69,1.0,37.69,4,Cash,0,26,Male,Young Professional,15,Saturday,November,0
2,616,2024-02-27 02:04:00,Hyderabad,XL,26.87,93,388.27,1.0,388.27,5,UPI,0,18,Male,Student,2,Tuesday,February,0
3,149,2024-01-13 10:45:00,Chennai,Pool,9.58,39,74.83,1.0,74.83,4,Cash,0,27,Female,Young Professional,10,Saturday,January,0
4,440,2024-05-20 08:13:00,Mumbai,Premium,6.05,21,134.13,1.5,201.2,5,UPI,0,41,Male,Mid-Career,8,Monday,May,1
5,219,2024-05-05 07:31:00,Mumbai,Standard,27.76,102,368.41,1.0,368.41,4,UPI,0,37,Male,Mid-Career,7,Sunday,May,1
6,1932,2024-04-24 12:13:00,Mumbai,Standard,18.68,69,187.16,1.0,187.16,5,UPI,0,36,Male,Mid-Career,12,Wednesday,April,0
7,6,2024-03-12 18:36:00,Bangalore,Standard,5.74,28,64.1,1.5,96.15,5,UPI,0,29,Female,Young Professional,18,Tuesday,March,1
8,671,2024-02-22 08:40:00,Chennai,Pool,18.89,72,140.23,2.0,280.46,2,UPI,1,19,Male,Student,8,Thursday,February,1
9,1634,2024-12-12 14:39:00,Mumbai,Premium,4.14,21,61.9,1.0,61.9,5,UPI,0,37,Female,Mid-Career,14,Thursday,December,0
10,839,2024-10-06 08:00:00,Bangalore,Pool,2.1,12,30.0,1.5,45.0,3,UPI,0,23,Male,Student,8,Sunday,October,1
11,1019,2024-02-14 17:02:00,Bangalore,Standard,2.12,16,30.0,1.0,30.0,4,UPI,0,53,Female,Senior,17,Wednesday,February,1
12,895,2024-10-29 23:59:00,Chennai,XL,8.69,31,137.39,1.0,137.39,4,Cash,0,37,Female,Mid-Career,23,Tuesday,October,0
13,1275,2024-08-04 03:24:00,Bangalore,Pool,5.56,22,50.49,1.0,50.49,5,Cash,1,26,Male,Young Professional,3,Sunday,August,0
14,1085,2024-01-17 17:13:00,Chennai,Standard,8.61,39,104.18,2.0,208.36,4,UPI,0,25,Female,Young Professional,17,Wednesday,January,1
15,1503,2024-01-16 00:57:00,Delhi,Standard,9.27,36,106.44,1.0,106.44,5,Card,0,31,Male,Young Professional,0,Tuesday,January,0
16,1910,2024-02-17 19:44:00,Delhi,Standard,1.0,5,30.0,1.0,30.0,3,Card,1,29,Male,Young Professional,19,Saturday,February,1
17,68,2024-04-21 20:07:00,Delhi,Standard,1.0,13,30.0,1.0,30.0,1,UPI,0,43,Female,Mid-Career,20,Sunday,April,1
18,1465,2024-04-29 18:59:00,Delhi,Premium,6.09,30,125.33,2.0,250.66,5,UPI,0,33,Male,Young Professional,18,Monday,April,1
19,253,2024-09-15 14:18:00,Mumbai,Standard,1.7,13,30.0,1.0,30.0,5,UPI,0,24,Male,Student,14,Sunday,September,0
20,829,2024-11-04 11:00:00,Bangalore,Standard,8.01,33,94.71,1.0,94.71,5,Wallet,1,50,Male,Senior,11,Monday,November,0
21,884,2024-01-14 07:57:00,Hyderabad,Premium,6.43,32,127.49,1.0,127.49,5,Cash,0,32,Male,Young Professional,7,Sunday,January,1
22,624,2024-10-14 10:15:00,Bangalore,Standard,7.05,33,85.56,1.0,85.56,5,UPI,0,39,Female,Mid-Career,10,Monday,October,0
23,1553,2024-04-11 19:42:00,Delhi,Standard,2.88,20,31.97,1.0,31.97,4,Cash,0,25,Male,Young Professional,19,Thursday,April,1
24,1693,2024-11-28 22:52:00,Delhi,Standard,8.17,36,92.47,1.0,92.47,1,Card,1,35,Female,Mid-Career,22,Thursday,November,0
25,1091,2024-12-25 22:58:00,Delhi,Standard,14.15,55,193.22,1.0,193.22,5,UPI,0,35,Female,Mid-Career,22,Wednesday,December,0
26,1851,2024-10-06 12:53:00,Mumbai,Pool,40.0,120,384.25,1.0,384.25,5,Cash,0,18,Male,Student,12,Sunday,October,0
27,515,2024-08-02 07:21:00,Bangalore,Standard,14.58,52,202.86,1.5,304.29,5,UPI,0,52,Male,Senior,7,Friday,August,1
28,1902,2024-04-22 08:11:00,Mumbai,Premium,6.52,29,113.19,1.5,169.78,5,Cash,0,44,Female,Mid-Career,8,Monday,April,1
29,1006,2024-08-17 09:24:00,Mumbai,Premium,1.72,13,30.0,1.0,30.0,4,Card,1,28,Male,Young Professional,9,Saturday,August,1
30,615,2024-10-28 13:52:00,Hyderabad,Standard,9.15,36,96.74,1.0,96.74,3,Card,0,20,Male,Student,13,Monday,October,0
31,155,2024-05-22 01:14:00,Mumbai,Premium,22.2,85,449.98,1.0,449.98,5,Card,0,35,Male,Mid-Career,1,Wednesday,May,0
32,1537,2024-01-04 15:23:00,Chennai,Standard,1.9,11,30.0,1.0,30.0,4,Cash,0,32,Female,Young Professional,15,Thursday,January,0
33,1359,2024-03-22 09:58:00,Delhi,Standard,2.37,16,30.0,1.0,30.0,4,UPI,0,35,Female,Mid-Career,9,Friday,March,1
34,846,2024-12-23 13:53:00,Chennai,XL,1.29,7,30.0,1.0,30.0,4,UPI,0,33,Male,Young Professional,13,Monday,December,0
35,388,2024-08-04 09:25:00,Mumbai,XL,10.68,39,187.6,1.0,187.6,4,Wallet,0,37,Male,Mid-Career,9,Sunday,August,1
36,4,2024-06-23 07:02:00,Bangalore,Pool,4.17,19,31.7,1.5,47.55,5,Cash,0,46,Female,Mid-Career,7,Sunday,June,1
37,985,2024-05-22 12:09:00,Delhi,Standard,1.0,11,30.0,1.0,30.0,1,Cash,0,37,Female,Mid-Career,12,Wednesday,May,0
38,380,2024-03-20 07:09:00,Hyderabad,Standard,16.63,60,210.91,2.0,421.82,5,Card,0,21,Female,Student,7,Wednesday,March,1
39,1739,2024-04-20 03:38:00,Delhi,Premium,6.53,31,142.72,1.0,142.72,5,Card,0,45,Female,Mid-Career,3,Saturday,April,0
40,33,2024-06-21 01:15:00,Mumbai,Standard,3.22,11,36.54,1.0,36.54,4,Card,0,48,Male,Mid-Career,1,Friday,June,0
41,1035,2024-02-22 21:39:00,Hyderabad,Standard,3.37,16,39.52,1.0,39.52,4,UPI,0,63,Female,Senior,21,Thursday,February,0
42,716,2024-02-17 14:42:00,Delhi,Standard,2.74,10,31.05,1.0,31.05,3,Cash,0,20,Male,Student,14,Saturday,February,0
43,1743,2024-07-13 12:16:00,Mumbai,Standard,4.86,14,50.58,1.0,50.58,5,Cash,0,34,Male,Young Professional,12,Saturday,July,0
